2024-12-20 10:17:16 [http-nio-8081-exec-5] INFO  org.reflections.Reflections - Reflections took 27 ms to scan 1 urls, producing 6 keys and 20 values
2024-12-20 10:17:19 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:19 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 기본 메시지 핸들러: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/infrared_and_visible, {"time":1734657437038,"value":16}}
2024-12-20 10:17:19 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:19 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 84b1d2a4-1126-4395-95f1-cd84f94fccd2 - 처리 완료
2024-12-20 10:17:19 [Thread-5] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:19 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:19 [Thread-7] INFO  com.samsa.node.in.DebugNode - Node[00abe26c-eae5-49c3-8cc2-82982088e481] - Payload: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/infrared_and_visible, {"time":1734657437038,"value":16}}
2024-12-20 10:17:19 [Thread-7] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:19 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:19 [Thread-6] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:20 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 1161e790-0440-4811-9ad3-134f9036a95c - 처리 시작
2024-12-20 10:17:20 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:20 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 기본 메시지 핸들러: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/activity, {"time":1734657437038,"value":0}}
2024-12-20 10:17:20 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:20 [Thread-5] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:20 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 1161e790-0440-4811-9ad3-134f9036a95c - 처리 완료
2024-12-20 10:17:20 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:20 [Thread-7] INFO  com.samsa.node.in.DebugNode - Node[00abe26c-eae5-49c3-8cc2-82982088e481] - Payload: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/activity, {"time":1734657437038,"value":0}}
2024-12-20 10:17:20 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:20 [Thread-7] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:20 [Thread-6] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:21 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:21 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 6e8c000e-c82c-4b4b-ad8b-01e0678b2c02 - 처리 시작
2024-12-20 10:17:21 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:21 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 기본 메시지 핸들러: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/co2, {"time":1734657437038,"value":1215}}
2024-12-20 10:17:21 [Thread-5] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:21 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 6e8c000e-c82c-4b4b-ad8b-01e0678b2c02 - 처리 완료
2024-12-20 10:17:21 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:21 [Thread-7] INFO  com.samsa.node.in.DebugNode - Node[00abe26c-eae5-49c3-8cc2-82982088e481] - Payload: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/co2, {"time":1734657437038,"value":1215}}
2024-12-20 10:17:21 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:21 [Thread-7] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:21 [Thread-6] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:22 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:22 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: f0550feb-fdf2-4ab4-9cc0-c4dd2c684b7e - 처리 시작
2024-12-20 10:17:22 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:22 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 기본 메시지 핸들러: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/pressure, {"time":1734657437038,"value":1015.1}}
2024-12-20 10:17:22 [Thread-5] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:22 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: f0550feb-fdf2-4ab4-9cc0-c4dd2c684b7e - 처리 완료
2024-12-20 10:17:22 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:22 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:22 [Thread-7] INFO  com.samsa.node.in.DebugNode - Node[00abe26c-eae5-49c3-8cc2-82982088e481] - Payload: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/pressure, {"time":1734657437038,"value":1015.1}}
2024-12-20 10:17:22 [Thread-6] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:22 [Thread-7] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:23 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 8dc1dca0-44d5-4f08-957c-f67257df7c7a - 처리 시작
2024-12-20 10:17:23 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:23 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 기본 메시지 핸들러: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/illumination, {"time":1734657437038,"value":21}}
2024-12-20 10:17:23 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:23 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 8dc1dca0-44d5-4f08-957c-f67257df7c7a - 처리 완료
2024-12-20 10:17:23 [Thread-5] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:23 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:23 [Thread-7] INFO  com.samsa.node.in.DebugNode - Node[00abe26c-eae5-49c3-8cc2-82982088e481] - Payload: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/illumination, {"time":1734657437038,"value":21}}
2024-12-20 10:17:23 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:23 [Thread-7] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:23 [Thread-6] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:23 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/server_room/d/24e124136d151368/n/입구/e/temperature'에서 메시지 수신: {"time":1734657443232,"value":24.2}
